Model,MAE,MSE,R2
LinearRegression,82657.94605891759,10549721686.157969,0.9146454505138175
RobustRegression,199465.5595542932,61664910393.24949,0.5010881990728178
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44704861478,10604968525.173618,0.9141984653520285
SGDRegressor,1.584426188938825e+18,2.5769724323021833e+36,-2.08494903980324e+25
ANN,199361.88839799076,61481874879.21046,0.5025690830530343
RandomForest,97921.44387063527,14977619699.961079,0.878820691209047
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
